t_s,theta_pll_rad,theta_ref_rad,theta_err_rad
0,0,0,0
0.0002,0.0753982237076541,0.075398223686155,2.14991080493832e-11
0.0004,0.148076868356053,0.15079644737231,-0.0027195790162573
0.0006,0.221642543978792,0.226194671058465,-0.00455212707967345
0.0008,0.300719296999308,0.30159289474462,-0.000873597745311927
0.001,0.383500520846391,0.376991118430775,0.00650940241561593
0.0012,0.459431964949382,0.45238934211693,0.00704262283245127
0.0014,0.517325166453605,0.527787565803085,-0.0104623993494803
0.0016,0.554803945694017,0.60318578948924,-0.0483818437952229
0.0018,0.578394808004529,0.678584013175395,-0.100189205170866
0.002,0.594636754664717,0.75398223686155,-0.159345482196834
0.0022,0.604073700734493,0.829380460547705,-0.225306759813212
0.0024,0.602847395541687,0.904778684233861,-0.301931288692174
0.0026,0.591529425307021,0.980176907920016,-0.388647482612994
0.0028,0.57921422886152,1.05557513160617,-0.47636090274465
0.003,0.575887809093934,1.13097335529233,-0.555085546198392
0.0032,0.584419098449539,1.20637157897848,-0.621952480528941
0.0034,0.602007429901457,1.28176980266464,-0.679762372763178
0.0036,0.627346089970454,1.35716802635079,-0.729821936380337
0.0038,0.664940198065511,1.43256625003695,-0.767626051971435
0.004,0.720656073846316,1.5079644737231,-0.787308399876784
0.0042,0.793996849464589,1.58336269740926,-0.789365847944667
0.0044,0.880038699600785,1.65876092109541,-0.778722221494626
0.0046,0.972815514311632,1.73415914478157,-0.761343630469934
0.0048,1.06910151686522,1.80955736846772,-0.740455851602503
0.005,1.16969276727099,1.88495559215388,-0.715262824882888
0.0052,1.27494442257023,1.96035381584003,-0.685409393269803
0.0054,1.38177814096566,2.03575203952619,-0.653973898560522
0.0056,1.48629706893264,2.11115026321234,-0.624853194279703
0.0058,1.58757162693278,2.1865484868985,-0.598976859965715
0.006,1.68843164941929,2.26194671058465,-0.573515061165358
0.0062,1.79174522550424,2.33734493427081,-0.545599708766563
0.0064,1.89714734788336,2.41274315795696,-0.515595810073599
0.0066,2.00189465222333,2.48814138164312,-0.486246729419789
0.0068,2.10365427652584,2.56353960532927,-0.459885328803427
0.007,2.20197760218351,2.63893782901543,-0.436960226831913
0.0072,2.29792097056168,2.71433605270158,-0.416415082139905
0.0074,2.39220512951469,2.78973427638774,-0.397529146873047
0.0076,2.48501708716851,2.86513250007389,-0.380115412905377
0.0078,2.57664726126893,2.94053072376005,-0.363883462491119
0.008,2.6680437469828,3.0159289474462,-0.347885200463402
0.0082,2.7597241058005,3.09132717113236,-0.331603065331855
0.0084,2.85097715387126,3.16672539481851,-0.315748240947248
0.0086,2.94121938801494,3.24212361850467,-0.300904230489724
0.0088,3.03019622095743,3.31752184219082,-0.287325621233388
0.009,3.11747640693945,3.39292006587698,-0.275443658937526
0.0092,3.20279170062816,3.46831828956313,-0.265526588934969
0.0094,3.28729072391405,3.54371651324929,-0.256425789335236
0.0096,3.37338408586429,3.61911473693544,-0.245730651071148
0.0098,3.46304666905442,3.6945129606216,-0.231466291567173
0.01,3.5564467682653,3.76991118430775,-0.213464416042452
0.0102,3.65166743267255,3.84530940799391,-0.193641975321361
0.0104,3.74605478124455,3.92070763168006,-0.17465285043551
0.0106,3.83859657555946,3.99610585536622,-0.157509279806762
0.0108,3.92830212055372,4.07150407905237,-0.143201958498647
0.011,4.01511734304815,4.14690230273853,-0.131784959690377
0.0112,4.09906452388235,4.22230052642468,-0.123236002542337
0.0114,4.17972899434411,4.29769875011084,-0.117969755766731
0.0116,4.25813252573246,4.37309697379699,-0.114964448064531
0.0118,4.33629548391808,4.44849519748315,-0.112199713565068
0.012,4.41552863703025,4.5238934211693,-0.108364784139051
0.0122,4.49553919089097,4.59929164485546,-0.103752453964491
0.0124,4.57574154544077,4.67468986854161,-0.0989483231008439
0.0126,4.65532728659105,4.75008809222777,-0.09476080563672
0.0128,4.73456523467476,4.82548631591392,-0.0909210812391619
0.013,4.81416140072001,4.90088453960008,-0.086723138880072
0.0132,4.89497944580264,4.97628276328623,-0.0813033174835907
0.0134,4.97743512865461,5.05168098697239,-0.0742458583177745
0.0136,5.06101181447686,5.12707921065854,-0.0660673961816842
0.0138,5.14524975035489,5.2024774343447,-0.0572276839898089
0.014,5.23028913606404,5.27787565803085,-0.0475865219668146
0.0142,5.31633982136085,5.35327388171701,-0.0369340603561543
0.0144,5.40320285009341,5.42867210540316,-0.0254692553097513
0.0146,5.49038680949976,5.50407032908932,-0.0136835195895593
0.0148,5.57730850713458,5.57946855277547,-0.00216004564088923
0.015,5.6635266928393,5.65486677646163,0.00865991637767216
0.0152,5.74883643156655,5.73026500014778,0.018571431418767
0.0154,5.83278890574703,5.80566322383394,0.0271256819130912
0.0156,5.91484836123943,5.88106144752009,0.0337869137193323
0.0158,5.9945360005763,5.95645967120625,0.0380763293700559
0.016,6.07147263675783,6.0318578948924,0.0396147418654236
0.0162,6.14567485824683,6.10725611857856,0.0384187396682742
0.0164,6.21761327797543,6.18265434226471,0.0349589357107138
0.0166,0.00487626672629826,6.25805256595087,0.0300090079550168
0.0168,0.0748607741775507,6.04131764339747,0.31672843795967
0.017,0.14528492412822,6.11787925949056,0.31059097181725
0.0172,0.216675189174096,6.19635688614011,0.303503610213576
0.0174,0.289456471359942,6.27610044677324,0.296541331766292
0.0176,0.364116211562093,0.0744142610527049,0.289701950509388
0.0178,0.440580919451488,0.158862305765203,0.281718613686285
0.018,0.518245784230389,0.246535260254132,0.271710523976257
0.0182,0.59628227990765,0.33610411504463,0.26017816486302
0.0184,0.674161134686593,0.425663472550191,0.248497662136401
0.0186,0.751835394572278,0.514323100954228,0.23751229361805
0.0188,0.829613332523838,0.60225249533793,0.227360837185908
0.019,0.907853476583675,0.689853679362888,0.217999797220788
0.0192,0.986689017816991,0.776851302978732,0.209837714838259
0.0194,1.06607218912624,0.862372611911131,0.203699577215114
0.0196,1.14582353687087,0.945915550731878,0.199907986138996
0.0198,1.22587108607714,1.02770739076039,0.198163695316748
0.02,1.30589176893592,1.10812810721114,0.19776366172478
0.0202,1.38559241723305,1.18724100540351,0.198351411829543
0.0204,1.46479402380136,1.26488914522329,0.199904878578071
0.0206,1.54327335078995,1.3411717186217,0.20210163216825
0.0208,1.62099086351953,1.4165731953097,0.204417668209826
0.021,1.69821307500634,1.49165226795646,0.20656080704988
0.0212,1.77522061684636,1.56685622389734,0.208364392949024
0.0214,1.85210332663108,1.64250201518875,0.209601311442333
0.0216,1.92882139062086,1.71883316534139,0.209988225279472
0.0218,2.00524385326596,1.79596443697254,0.209279416293416
0.022,2.0812408994922,1.87378850913793,0.207452390354269
0.0222,2.15669233515379,1.95209669771002,0.204595637443771
0.0224,2.23174361128797,2.03091541392748,0.200828197360492
0.0226,2.30682403478337,2.11059013448329,0.196233900300075
0.0228,2.3821880864301,2.1914892378364,0.1906988485937
0.023,2.4579240055388,2.27368623380428,0.184237771734515
0.0232,2.53394873886242,2.35711047920199,0.176838259660425
0.0234,2.61036736431705,2.44174352921298,0.168623835104063
0.0236,2.68694876324857,2.52754042150272,0.159408341745849
0.0238,2.76334097739919,2.61415493003233,0.149186047366855
0.024,2.83922545004146,2.70105687277794,0.138168577263519
0.0242,2.91467246707726,2.78765581108525,0.127016655992015
0.0244,2.98952558906775,2.87353640380865,0.115989185259108
0.0246,3.06354707300177,2.95842754191295,0.105119531088822
0.0248,3.13657462687224,3.04243930196201,0.0941353249102264
0.025,3.20889711539216,3.12565870214881,0.0832384132433481
0.0252,3.28031175007966,3.2078113822666,0.0725003678130647
0.0254,3.35066662131682,3.28875778491996,0.0619088363968663
0.0256,3.42015843579356,3.36863287079984,0.0515255649937134
0.0258,3.4889020406023,3.44752848849911,0.0413735521031922
0.026,3.55675988790935,3.52518217545211,0.031577712457235
0.0262,3.62357863272935,3.60125343694421,0.0223251957851378
0.0264,3.68946050311246,3.67560787912281,0.0138526239896537
0.0266,3.75450577829057,3.74850941587589,0.00599636241467705
0.0268,3.81885243121207,3.82053018684423,-0.00167775563215988
0.027,3.88246470472981,3.89196448504211,-0.0094997803122947
0.0272,3.94534402335373,3.96299900914127,-0.017654985787535
0.0274,4.00769887854504,4.03391909952657,-0.0262202209815374
0.0276,4.07005866989186,4.10496992503555,-0.0349112551436841
0.0278,4.13252133886383,4.17635387366106,-0.0438325347972341
0.028,4.19514221755541,4.24823381308594,-0.0530915955305238
0.0282,4.2580493550281,4.3206746143985,-0.0626252593704004
0.0284,4.32140765599898,4.39360086451882,-0.0721932085198391
0.0286,4.38540321463692,4.46708654995314,-0.081683335316221
0.0288,4.45011671781819,4.54124751620542,-0.091130798387236
0.029,4.51565272726913,4.61605206546696,-0.100399338197829
0.0292,4.58236645470929,4.69128821266112,-0.108921757951831
0.0294,4.65024631544996,4.76669378507857,-0.116447469628609
0.0296,4.7191477275017,4.84206442523074,-0.122916697729039
0.0298,4.78921485767141,4.91726411977619,-0.128049262104779
0.03,4.86047879918882,4.99221706172264,-0.131738262533825
0.0302,4.9328861645836,5.06691309469995,-0.134026930116348
0.0304,5.00649966523774,5.14140840389258,-0.134908738654841
0.0306,5.08133278408782,5.21580342413394,-0.134470640046124
0.0308,5.15717402399615,5.29021974892347,-0.133045724927316
0.031,5.23418442424681,5.36468688688657,-0.130502462639763
0.0312,5.31213293780658,5.43917186460154,-0.127038926794956
0.0314,5.3910467565149,5.51368869150919,-0.122641934994288
0.0316,5.47077886213834,5.58827906538448,-0.117500203246142
0.0318,5.55115766943044,5.66296111956163,-0.111803450131192
0.032,5.63215681501345,5.73785013129169,-0.105693316278235
0.0322,5.71378804610073,5.81305294743814,-0.0992649013374072
0.0324,5.79603313515124,5.88862147560078,-0.092588340449538
0.0326,5.87856942185606,5.96464080555736,-0.0860713837013041
0.0328,5.96150807765089,6.04116577761053,-0.0796576999596459
0.033,6.04466179219697,6.11808283594201,-0.0734210437450349
0.0332,6.12794120828109,6.19522080774955,-0.0672795994684616
0.0334,6.21117339075274,6.27229125511953,-0.0611178643667936
0.0336,0.0109132432806547,0.0658676592568109,-0.0549544159761562
0.0338,0.093412960740475,0.142193326296991,-0.0487803655565155
0.034,0.175450598831443,0.217985730197599,-0.0425351313661556
0.0342,0.256929050069424,0.293148061951712,-0.0362190118822874
0.0344,0.337794306358111,0.367785662941405,-0.029991356583293
0.0346,0.418351496857336,0.442162819424879,-0.0238113225675433
0.0348,0.498757966177471,0.516507918726165,-0.017749952548694
0.035,0.578872719210304,0.590966519499374,-0.0120938002890704
0.0352,0.658787486109163,0.665492290119741,-0.00670480401057794
0.0354,0.738312603202147,0.740027266612767,-0.00171466341061977
0.0356,0.817715554370986,0.814546058081796,0.00316949628918983
0.0358,0.896833386078693,0.889019974753691,0.00781341132500224
0.036,0.975452669332725,0.963470879416768,0.0119817899159564
0.0362,1.05380628347565,1.03792950520981,0.0158767782658358
0.0364,1.13174078415726,1.11240046360312,0.0193403205541325
0.0366,1.20939173157636,1.1869573673207,0.0224343642556546
0.0368,1.28657566562854,1.2616677528631,0.0249079127654339
0.037,1.3633631204853,1.33657633506102,0.0267867854242727
0.0372,1.4395712605333,1.41166795508723,0.0279033054460716
0.0374,1.51514561386184,1.48689960277631,0.0282460110855227
0.0376,1.59010885930198,1.56224385010026,0.0278650092017207
0.0378,1.66441947716226,1.6376702352555,0.026749241906757
0.038,1.7381986541571,1.71315129700894,0.0250473571481538
0.0382,1.81123112288376,1.78865088289716,0.0225802399865949
0.0384,1.88358513017929,1.86413308883139,0.0194520413478991
0.0386,1.95523639039746,1.93956298848368,0.0156734019137803
0.0388,2.02621696792385,2.01488209659427,0.011334871329574
0.039,2.0967740135832,2.08999103373406,0.00678297984913989
0.0392,2.16736721226827,2.16472594571044,0.00264126655783237
0.0394,2.23794742871186,2.23900375910767,-0.00105633039580644
0.0396,2.30839729829529,2.31278191339836,-0.00438461510307375
0.0398,2.37876037294186,2.38603525215971,-0.00727487921784675
0.04,2.44913551789546,2.45875096110503,-0.00961544320957408
0.0402,2.51958327944109,2.53100961074787,-0.0114263313067773
0.0404,2.59027045442135,2.60292868620341,-0.0126582317820638
0.0406,2.66126471110139,2.67469002055106,-0.0134253094496635
0.0408,2.73269418530234,2.74632380011909,-0.0136296148167543
0.041,2.80424873743978,2.81795554941101,-0.0137068119712245
0.0412,2.87605083372698,2.88975103978935,-0.0137002060623646
0.0414,2.94827348396366,2.96190849787145,-0.0136350139077912
0.0416,3.02116589279493,3.03444778856652,-0.013281895771593
0.0418,3.09431214569299,3.10745068482221,-0.0131385391292151
0.042,3.1677200911293,3.18101322035927,-0.013293129229961
0.0422,3.24154268367216,3.2551902666093,-0.0136475829371348
0.0424,3.31590874901812,3.32998200049727,-0.0140732514791506
0.0426,3.39086535932536,3.40540579011243,-0.0145404307870769
0.0428,3.46609012079697,3.48141877580671,-0.0153286550097329
0.043,3.54163012793097,3.55795912664942,-0.0163289987184525
0.0432,3.61752800242953,3.63492163228281,-0.0173936298532871
0.0434,3.6935313583563,3.71215915440539,-0.0186277960490937
0.0436,3.76981358505022,3.7896322229508,-0.0198186379005802
0.0438,3.84617418123139,3.86725140072875,-0.021077219497359
0.044,3.92272822799863,3.94488738780595,-0.0221591598073219
0.0442,3.99951843691973,4.02239556444646,-0.022877127526729
0.0444,4.07626454949121,4.09964817921231,-0.023383629721101
0.0446,4.15317881314785,4.17662191738423,-0.0234431042363887
0.0448,4.23016619201038,4.2532795328435,-0.0231133408331248
0.045,4.30689085962478,4.32961774229662,-0.0227268826718472
0.0452,4.38341079401541,4.405675890947,-0.0222650969315934
0.0454,4.45990431039152,4.48147610110932,-0.0215717907177932
0.0456,4.53635125242102,4.55706828733917,-0.0207170349181451
0.0458,4.61276504303915,4.63252447780139,-0.019759434762241
0.046,4.68947335638854,4.70792669395178,-0.0184533375632467
0.0462,4.76658444176791,4.78333732234707,-0.0167528805791566
0.0464,4.8437396496531,4.85881965544384,-0.0150800057907494
0.0466,4.92111765873359,4.93442452620491,-0.0133068674713241
0.0468,4.99865848835647,5.01016895371226,-0.0115104653557916
0.047,5.07619753066668,5.08609077275197,-0.00989324208529219
0.0472,5.15399451492843,5.16220453949905,-0.00821002457061937
0.0474,5.23167379105073,5.23846061729084,-0.0067868262401074
0.0476,5.30925589791873,5.31481603627429,-0.00556013835556257
0.0478,5.38652435512926,5.39120984461977,-0.00468548949050263
0.048,5.46361857677203,5.46761389662776,-0.0039953198557301
0.0482,5.54060561265445,5.54397253800311,-0.00336692534865879
0.0484,5.6172852078829,5.62026060844533,-0.00297540056243228
0.0486,5.69385248513771,5.69638911376001,-0.0025366286222992
0.0488,5.77020506065332,5.77224871574404,-0.00204365509071724
0.049,5.84603225543813,5.84775956327955,-0.00172730784142416
0.0492,5.92141917047521,5.92295691463253,-0.00153774415731878
0.0494,5.99641859823091,5.99778739110789,-0.00136879287697855
0.0496,6.07088936826647,6.07227505097889,-0.0013856827124199
0.0498,6.14507858976826,6.14648778706565,-0.00140919729739242
0.05,6.21899549861062,6.22040401012601,-0.00140851151538346
0.0502,0.00932275453631703,0.0109095104850774,-0.00158675594876036
0.0504,0.0825679581072448,0.0844363053927622,-0.00186834728551744
0.0506,0.15560538761365,0.157851018131504,-0.00224563051785376
0.0508,0.228452092675188,0.231235979768073,-0.00278388709288582
0.051,0.301215951022455,0.304652430236994,-0.00343647921453816
0.0512,0.373983638810551,0.37809871342219,-0.00411507461163907
0.0514,0.446821107360182,0.451620415060017,-0.00479930769983489
0.0516,0.51988841443538,0.525292032182897,-0.00540361774751641
0.0518,0.59330187826187,0.599184904935873,-0.00588302667400342
0.052,0.667184409458464,0.673387152578299,-0.00620274311983504
0.0522,0.741521274357043,0.747875741101779,-0.00635446674473628
0.0524,0.816423606692128,0.822638935808516,-0.00621532911638767
0.0526,0.891386794734568,0.897633477715504,-0.00624668298093611
0.0528,0.966356833236231,0.972795755193737,-0.00643892195750584
0.053,1.04142832570222,1.04812040158763,-0.00669207588540877
0.0532,1.11677120386292,1.1235727429016,-0.00680153903867997
0.0534,1.19219180973105,1.19910322653993,-0.00691141680887863
0.0536,1.26777806913437,1.27468828708545,-0.0069102179510796
0.0538,1.34328533453451,1.35027871464875,-0.00699338011424278
0.054,1.41883077113265,1.42585610997663,-0.00702533884397893
0.0542,1.49424934859141,1.50137713129564,-0.00712778270423353
0.0544,1.56970588505002,1.57681219017319,-0.00710630512316879
0.0546,1.64498758631268,1.65215795943576,-0.00717037312308411
0.0548,1.72015425826669,1.72741476232196,-0.00726050405526224
0.055,1.79522012286152,1.80259974051436,-0.00737961765283579
0.0552,1.87037818828095,1.87774948654,-0.00737129825905125
0.0554,1.9454135327001,1.95286005766898,-0.00744652496887954
0.0556,2.02032288980547,2.02792713856925,-0.0076042487637733
0.0558,2.09554049036162,2.10300173239305,-0.00746124203142529
0.056,2.17106949932761,2.1781087460448,-0.00703924671719225
0.0562,2.24675900367316,2.25325305323153,-0.00649404955836541
0.0564,2.32236275891401,2.32849062439385,-0.00612786547983646
0.0566,2.39795154901501,2.40388213580447,-0.00593058678945235
0.0568,2.47370948341717,2.47943891152087,-0.00572942810369792
0.057,2.54965351373887,2.55511673456932,-0.0054632208304537
0.0572,2.62538187016879,2.63089120794915,-0.00550933778036367
0.0574,2.70107648563458,2.70673367086625,-0.00565718523166669
0.0576,2.77674788366274,2.78263345467625,-0.00588557101351084
0.0578,2.85251796431628,2.85860126298246,-0.00608329866618007
0.058,2.92829696030506,2.93454975196603,-0.00625279166096915
0.0582,3.00407365354811,3.01042501148803,-0.00635135793992436
0.0584,3.08002857243231,3.08635444953732,-0.00632587710500765
0.0586,3.15612821936669,3.16230054967234,-0.00617233030565423
0.0588,3.23233854033142,3.23816260154297,-0.00582406121154877
0.059,3.30837505606265,3.31385538840264,-0.00548033233998924
0.0592,3.38426304410527,3.38940596281047,-0.00514291870519301
0.0594,3.4602923989587,3.46488197321964,-0.0045895742609412
0.0596,3.53629207921665,3.54025506459184,-0.00396298537519657
0.0598,3.61239903285776,3.61555169873787,-0.00315266588010488
0.06,3.68828035231189,3.69071197628154,-0.00243162396964891
0.0602,3.7635844057171,3.76572430015096,-0.00213989443386708
0.0604,3.83869374506866,3.84067207644535,-0.00197833137668679
0.0606,3.91358948052078,3.91560138355696,-0.0020119030361796
0.0608,3.98840426051944,3.9904819769532,-0.00207771643376065
0.061,4.06296934846854,4.06536224609993,-0.00239289763138739
0.0612,4.13722380557486,4.14025257759846,-0.00302877202360463
0.0614,4.21112594467824,4.21518500505674,-0.00405906037849935
0.0616,4.28486115218243,4.29018170542778,-0.00532055324534486
0.0618,4.3584667886834,4.36528415879606,-0.00681737011266215
0.062,4.43228950224701,4.44048087483204,-0.00819137258503133
0.0622,4.50635787578131,4.51574289404326,-0.00938501826195015
0.0624,4.58061411353518,4.59107082092041,-0.0104567073852255
0.0626,4.65505881985123,4.66643853893673,-0.0113797190854994
0.0628,4.72945515963078,4.74183324258028,-0.012378082949497
0.063,4.80387958633775,4.81723351421181,-0.0133539278740535
0.0632,4.87849062720272,4.89261253014851,-0.0141219029457904
0.0634,4.95337881295113,4.96797083011947,-0.0145920171683462
0.0636,5.02835645348895,5.04327911118928,-0.0149226577003345
0.0638,5.1034044019291,5.11851634348652,-0.0151119415574188
0.064,5.17884541598616,5.19369829687271,-0.014852880886548
0.0642,5.25461183543869,5.26881835150372,-0.0142065160650242
0.0644,5.33066578637626,5.34388179841518,-0.0132160120389244
0.0646,5.40670646777822,5.41887960132456,-0.0121731335463391
0.0648,5.48283659593389,5.49378699386163,-0.0109503979277328
0.065,5.5588247798107,5.56863475559342,-0.00980997578272103
0.0652,5.63468741845726,5.64345772790062,-0.0087703094433671
0.0654,5.71066095298778,5.7182698052003,-0.0076088522125195
0.0656,5.78643089413156,5.79309938158724,-0.0066684874556735
0.0658,5.86202474525693,5.86798986415048,-0.00596511889355167
0.066,5.93749900016323,5.94291660576158,-0.00541760559834703
0.0662,6.01274093415355,6.01790913526359,-0.00516820111004179
0.0664,6.08793547753058,6.09292218432077,-0.00498670679019231
0.0666,6.16296202246907,6.16798209631558,-0.00502007384650938
0.0668,6.23776421651398,6.2431238999611,-0.00535968344711524
0.067,0.0295116087332934,0.0352040312168493,-0.00569242248355593
0.0672,0.104526327548101,0.110560385735107,-0.0060340581870067
0.0674,0.179571734192382,0.186018900769252,-0.00644716657686997
0.0676,0.254641021120417,0.261539772138179,-0.00689875101776144
0.0678,0.329664410351086,0.337114724929082,-0.00745031457799578
0.068,0.404762173270513,0.412696430754527,-0.00793425748401416
0.0682,0.479635286801922,0.488214457946334,-0.00857917114441231
0.0684,0.554388426561296,0.563640479023386,-0.00925205246208949
0.0686,0.62915081963991,0.639020319115548,-0.00986949947563842
0.0688,0.704206156118186,0.714368859983591,-0.010162703865405
0.069,0.779678519875892,0.789677984203708,-0.00999946432781595
0.0692,0.855088978345076,0.864967660257276,-0.00987868191219932
0.0694,0.930425866361983,0.940229804053039,-0.00980393769105636
0.0696,1.00578954107681,1.01549587726851,-0.00970633619169115
0.0698,1.08136190933785,1.09074536499876,-0.0093834556609047
0.07,1.1569613337594,1.16599540841939,-0.00903407465998529
0.0702,1.23273259539417,1.24125641633872,-0.00852382094455484
0.0704,1.3085040736687,1.31653934008899,-0.00803526642028096
0.0706,1.38444132784056,1.39184742623748,-0.00740609839692463
0.0708,1.46037445028841,1.46718919595757,-0.0068147456691634
0.071,1.53645501985684,1.54256770694838,-0.00611268709153467
0.0712,1.61235305190692,1.61796920046417,-0.00561614855724812
0.0714,1.68805499764027,1.69339182550929,-0.00533682786902401
0.0716,1.76357584740189,1.76882624664749,-0.005250399245597
0.0718,1.83879225195779,1.84424076951307,-0.00544851755527676
0.072,1.91390291821575,1.91964493903917,-0.00574202082341913
0.0722,1.98877821901574,1.99503461556282,-0.00625639654708321
0.0724,2.06333097796201,2.07034298432313,-0.00701200636111787
0.0726,2.13744590000152,2.14554116945645,-0.00809526945493166
0.0728,2.2112334560419,2.22069771200952,-0.00946425596762346
0.073,2.28517575527704,2.29585492156434,-0.0106791662873014
0.0732,2.35926701249786,2.37093414360859,-0.0116671311107233
0.0734,2.43342455021285,2.44593954586779,-0.012514995654938
0.0736,2.50788998977596,2.52091263773187,-0.0130226479559075
0.0738,2.58240962700828,2.5958239246987,-0.0134142976904172
0.074,2.65697567573497,2.67072613386637,-0.0137504581314007
0.0742,2.73176577185667,2.74564751892548,-0.013881747068806
0.0744,2.8066930677237,2.82053709564929,-0.0138440279255896
0.0746,2.88189456814709,2.8954445040518,-0.0135499359047087
0.0748,2.95726869868762,2.97035856511876,-0.0130898664311401
0.075,3.03278218637761,3.04522778012008,-0.012445593742473
0.0752,3.10843538387999,3.1201062017248,-0.0116708178448159
0.0754,3.18433699705184,3.19498676679745,-0.0106497697456094
0.0756,3.26024982857367,3.26991536243458,-0.00966553386091551
0.0758,3.33626557305248,3.3448798926853,-0.00861431963282255
0.076,3.41219022820802,3.41982987096544,-0.00763964275741769
0.0762,3.48821103577744,3.49481496680424,-0.00660393102679668
0.0764,3.56419500917703,3.56981895003867,-0.00562394086164364
0.0766,3.64029583508613,3.6449544608337,-0.00465862574757603
0.0768,3.71631860759523,3.72024812794543,-0.00392952035019745
0.077,3.79222558885305,3.79556227769072,-0.00333668883767269
0.0772,3.86776733235903,3.87084562127656,-0.00307828891753559
0.0774,3.94276739593173,3.94610394985607,-0.00333655392433752
0.0776,4.01753475572609,4.02139855402203,-0.00386379829594041
0.0778,4.09219601729385,4.09674585476698,-0.00454983747312809
0.078,4.16667916282605,4.17209447560426,-0.00541531277821417
0.0782,4.24086478159066,4.24748918569137,-0.00662440410071241
0.0784,4.31509888361174,4.32289895817487,-0.0078000745631277
0.0786,4.38941133257342,4.39827728992104,-0.00886595734761553
0.0788,4.4639093041958,4.47366792954622,-0.00975862535042005
0.079,4.5386671511751,4.54906639300077,-0.0103992418256702
0.0792,4.61366516771361,4.6244586548296,-0.0107934871159872
0.0794,4.68865220678029,4.6998538265183,-0.0112016197380136
0.0796,4.7636726248887,4.77525400005257,-0.011581375163872
0.0798,4.8388526085096,4.85065511965931,-0.0118025111497069
0.08,4.91420434043045,4.92605019357329,-0.0118458531428329
0.0802,4.98991806621193,5.00144776876388,-0.0115297025519512
0.0804,5.06570830906455,5.07684113871879,-0.0111328296542386
0.0806,5.14151558703066,5.1522040948749,-0.0106885078442449
0.0808,5.21738584818716,5.22755106140558,-0.0101652132184169
0.081,5.29345633250305,5.30287363242553,-0.0094172999224762
0.0812,5.36948104682813,5.37819649220159,-0.00871544537345503
0.0814,5.44551258236979,5.45350216213084,-0.00798957976104742
0.0816,5.52131751823237,5.52878564297679,-0.00746812474442216
0.0818,5.59706621520582,5.60401089647981,-0.00694468127398196
0.082,5.67264692394659,5.67918373907778,-0.00653681513119331
0.0822,5.74824210724895,5.75436395466196,-0.00612184741300492
0.0824,5.82363403682321,5.82946460901591,-0.00583057219269012
0.0826,5.8988586237278,5.90452578112721,-0.00566715739940982
0.0828,5.97393305710669,5.97962280661917,-0.00568974951248258
0.083,6.04903129450831,6.05470012127551,-0.00566882676720226
0.0832,6.12390489527529,6.12970858698567,-0.00580369171037987
0.0834,6.19841159863418,6.20464194514128,-0.0062303465070972
0.0836,6.27261726146104,6.27947259027772,-0.00685532881668394
0.0838,0.0634140176659281,0.0710557278643687,-0.00764171019844061
0.084,0.13749338165653,0.145849548164697,-0.00835616650816667
0.0842,0.211771578083723,0.220674769402448,-0.00890319131872441
0.0844,0.286148738599596,0.295533258539656,-0.0093845199400599
0.0846,0.360584461114135,0.370438524109391,-0.00985406299525621
0.0848,0.435294118638882,0.445505095749354,-0.0102109771104713
0.085,0.510347581059117,0.520674647211302,-0.0103270661521849
0.0852,0.585345530844388,0.595849373637139,-0.0105038427927505
0.0854,0.660405764721791,0.670996573753075,-0.0105908090312845
0.0856,0.735664766780908,0.746152503056168,-0.0104877362752601
0.0858,0.810996706081223,0.821319337389811,-0.0103226313085886
0.086,0.886399103938489,0.896528203418143,-0.0101290994796547
0.0862,0.961844635068094,0.97179649532026,-0.00995186025216654
0.0864,1.03733243940306,1.04708177553148,-0.0097493361284211
0.0866,1.11317499609614,1.12241597035889,-0.0092409742627515
0.0868,1.18899444826929,1.19778335773827,-0.00878890946897992
0.087,1.26484982807004,1.27317858752798,-0.00832875945793909
0.0872,1.34059838487639,1.34858617026839,-0.00798778539199785
0.0874,1.4164451046262,1.42400235036412,-0.00755724573792182
0.0876,1.49223518924601,1.49941077761638,-0.0071755883703648
0.0878,1.56807942994169,1.57481188164726,-0.00673245170556891
0.088,1.6436996449394,1.65020549547285,-0.00650585053345099
